family,kind,board,members,basis,caveat
L-deadline,implication,Climate and Weather,USCLIMATE | 2 legs,earlier deadline implies later within one event,1 monitorable pairs
L-threshold,implication,Economics,KXDIESELMON-26AUG31 | 21 legs,nested thresholds on one subject: above $#,210 monitorable pairs
L-threshold,implication,Economics,KXU3-26AUG | 14 legs,nested thresholds on one subject: above #%,91 monitorable pairs
L-threshold,implication,Economics,KXPAYROLLS-26AUG | 12 legs,nested thresholds on one subject: above #,66 monitorable pairs
P1-mutex,partition,Economics,KXECONSTATU3-26AUG | 23 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXUE-GER26AUG | 10 legs,nested thresholds on one subject: above #%,45 monitorable pairs
L-threshold,implication,Economics,KXUE-MEX26JUL | 9 legs,nested thresholds on one subject: above #%,36 monitorable pairs
L-threshold,implication,Economics,KXISMPMI-26AUG | 8 legs,nested thresholds on one subject: at least #,28 monitorable pairs
L-threshold,implication,Economics,KXADP-26AUG | 6 legs,nested thresholds on one subject: above #,15 monitorable pairs
P1-mutex,partition,Economics,KXCBDECISIONNZ-26SEP01 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXUSHOME-26AUG25 | 12 legs,nested thresholds on one subject: above $#,66 monitorable pairs
L-threshold,implication,Economics,KXNHSALES-26AUG25 | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Economics,KXAAAGASM-26AUG31 | 26 legs,nested thresholds on one subject: above #,325 monitorable pairs
P1-mutex,partition,Economics,KXCBDISRAEL-26AUG31 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXUKRETAIL-26AUG21 | 6 legs,nested thresholds on one subject: above #%,15 monitorable pairs
L-threshold,implication,Economics,KXUE-AUS26JUL | 10 legs,nested thresholds on one subject: above #%,45 monitorable pairs
P1-mutex,partition,Economics,KXCBDECISIONKOREA-26AUG26 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXPCECORE-26JUL | 5 legs,nested thresholds on one subject: above #%,10 monitorable pairs
L-threshold,implication,Economics,KXSARETAIL-26AUG19 | 7 legs,nested thresholds on one subject: above #%,21 monitorable pairs
L-threshold,implication,Economics,KXSAMOMINF-26AUG19 | 9 legs,nested thresholds on one subject: above #%,36 monitorable pairs
L-threshold,implication,Economics,KXHOUSINGSTART-26AUG18 | 10 legs,nested thresholds on one subject: above #m,45 monitorable pairs
L-threshold,implication,Economics,KXBUILDPERMS-26AUG18 | 7 legs,nested thresholds on one subject: above #m,21 monitorable pairs
L-threshold,implication,Economics,KXUE-CHN26JUL | 11 legs,nested thresholds on one subject: above #%,55 monitorable pairs
L-threshold,implication,Economics,KXUSRETAIL-26AUG14 | 7 legs,nested thresholds on one subject: above #%,21 monitorable pairs
L-threshold,implication,Economics,KXARMOMINF-26AUG13 | 9 legs,nested thresholds on one subject: above #%,36 monitorable pairs
L-threshold,implication,Economics,KXUSPPIYOY-26AUG13 | 24 legs,nested thresholds on one subject: above #%,276 monitorable pairs
L-threshold,implication,Economics,KXUSEDCARCPI-26AUG12 | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Economics,KXSHELTERCPI-26AUG12 | 7 legs,nested thresholds on one subject: above #,21 monitorable pairs
L-threshold,implication,Economics,KXCPINDEX-26AUG12 | 18 legs,nested thresholds on one subject: above #,153 monitorable pairs
L-threshold,implication,Economics,KXAIRFARECPI-26AUG12 | 4 legs,nested thresholds on one subject: above #,6 monitorable pairs
L-threshold,implication,Economics,KXIRANCRUDE-26AUG12 | 11 legs,nested thresholds on one subject: at least #m bpd,55 monitorable pairs
L-threshold,implication,Economics,KXEXUSHOME-26AUG11 | 9 legs,nested thresholds on one subject: above $#,36 monitorable pairs
L-threshold,implication,Economics,KXEHSALES-26AUG11 | 8 legs,nested thresholds on one subject: above #m,28 monitorable pairs
L-threshold,implication,Economics,KXUE-SAF26Q2 | 11 legs,nested thresholds on one subject: above #%,55 monitorable pairs
L-threshold,implication,Economics,KXDIESELW-26AUG09 | 21 legs,nested thresholds on one subject: above $#,210 monitorable pairs
L-threshold,implication,Economics,KXAMSAVO-26AUG07 | 11 legs,nested thresholds on one subject: above $#,55 monitorable pairs
L-threshold,implication,Economics,KXUSFLYCAN-26AUG07 | 10 legs,nested thresholds on one subject: above #,45 monitorable pairs
L-threshold,implication,Economics,KXTEMPHELP-26AUG07 | 5 legs,nested thresholds on one subject: above # million,10 monitorable pairs
L-threshold,implication,Economics,KXUE-CAN26JUL | 10 legs,nested thresholds on one subject: above #%,45 monitorable pairs
L-threshold,implication,Economics,KXFAOFPI-26AUG07 | 10 legs,nested thresholds on one subject: above #,45 monitorable pairs
L-threshold,implication,Economics,KXCHCUTS-26AUG06 | 9 legs,nested thresholds on one subject: above #,36 monitorable pairs
L-threshold,implication,Economics,KXSPRLVL-26AUG05 | 10 legs,nested thresholds on one subject: above #m,45 monitorable pairs
P1-mutex,partition,Economics,KXECONSTATCPIYOY-26JUL | 26 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Economics,KXECONSTATCPICORE-26JUL | 8 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Economics,KXECONSTATCPI-26JUL | 10 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Economics,KXECONSTATCORECPIYOY-26JUL | 16 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXCPIYOY-26JUL | 21 legs,nested thresholds on one subject: above #%,210 monitorable pairs
L-threshold,implication,Economics,KXCPICOREYOY-26JUL | 15 legs,nested thresholds on one subject: above #%,105 monitorable pairs
L-threshold,implication,Economics,KXCPICORE-26JUL | 11 legs,nested thresholds on one subject: above #%,55 monitorable pairs
L-threshold,implication,Economics,KXCPI-26JUL | 6 legs,nested thresholds on one subject: above #%,15 monitorable pairs
L-threshold,implication,Economics,KXCPICOMBO-26JULB | 3 legs,nested thresholds on one subject: headline: exactly #%# core: #% or below,3 monitorable pairs
L-threshold,implication,Economics,KXCPICOMBO-26JULB | 3 legs,nested thresholds on one subject: headline: exactly #%# core: #% or above,3 monitorable pairs
P1-mutex,partition,Economics,KXCPICOMBO-26JULB | 15 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXAUTODELQ-26AUG04 | 8 legs,nested thresholds on one subject: above #%,28 monitorable pairs
L-threshold,implication,Economics,KXBRAZILINF-26JUL | 11 legs,nested thresholds on one subject: above #%,55 monitorable pairs
L-threshold,implication,Economics,KXDIESELD-26AUG04 | 21 legs,nested thresholds on one subject: above $#,210 monitorable pairs
P1-mutex,partition,Economics,KXCBDECISIONAUSTRALIA-26AUG11 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXTRUEV-26AUG03 | 15 legs,nested thresholds on one subject: above #,105 monitorable pairs
L-threshold,implication,Economics,KXTSAW-26AUG09 | 21 legs,nested thresholds on one subject: above # million,210 monitorable pairs
L-threshold,implication,Economics,KXAAAGASW-26AUG10 | 22 legs,nested thresholds on one subject: above #,231 monitorable pairs
L-threshold,implication,Economics,KXU3-26JUL | 14 legs,nested thresholds on one subject: above #%,91 monitorable pairs
L-threshold,implication,Economics,KXPAYROLLS-26JUL | 12 legs,nested thresholds on one subject: above #,66 monitorable pairs
P1-mutex,partition,Economics,KXECONSTATU3-26JUL | 23 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXEMPLOYMENTCOMBO-26JUL | 2 legs,nested thresholds on one subject: u#: #%# nfp growth: below #k,1 monitorable pairs
L-threshold,implication,Economics,KXEMPLOYMENTCOMBO-26JUL | 2 legs,nested thresholds on one subject: u#: #%# nfp growth: #k or above,1 monitorable pairs
P1-mutex,partition,Economics,KXEMPLOYMENTCOMBO-26JUL | 12 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Economics,KXCBDECISIONMEXICO-26AUG06 | 7 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Economics,KXWEFTWEETS-26AUG06 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P2-exhaustive,partition,Economics,KXWEFTWEETS-26AUG06 | 6 legs,tiled partition with explicit precision clause: YES-basket = $1,the only price-free synthetic dollar; buy-all direction
P1-mutex,partition,Economics,KXIMFTWEETS-26AUG06 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P2-exhaustive,partition,Economics,KXIMFTWEETS-26AUG06 | 6 legs,tiled partition with explicit precision clause: YES-basket = $1,the only price-free synthetic dollar; buy-all direction
P1-mutex,partition,Economics,KXFEDTWEETS-26AUG06 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P2-exhaustive,partition,Economics,KXFEDTWEETS-26AUG06 | 6 legs,tiled partition with explicit precision clause: YES-basket = $1,the only price-free synthetic dollar; buy-all direction
L-threshold,implication,Economics,KXJOBLESSCLAIMS-26AUG06 | 9 legs,nested thresholds on one subject: at least #,36 monitorable pairs
P1-mutex,partition,Economics,KXCBDECISIONBRAZIL-26AUG05 | 7 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXADP-26JUL | 6 legs,nested thresholds on one subject: above #,15 monitorable pairs
P1-mutex,partition,Economics,KXCBDECISIONINDIA-26AUG05 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Economics,KXAAAGASD-26AUG04 | 17 legs,nested thresholds on one subject: above #,136 monitorable pairs
L-deadline,implication,Economics,KXMEXCUBOIL-26 | 2 legs,earlier deadline implies later within one event,1 monitorable pairs
P1-mutex,partition,Economics,KXNBERRECESSQ | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-deadline,implication,Economics,FEDHIKE | 3 legs,earlier deadline implies later within one event,3 monitorable pairs
L-threshold,implication,Economics,KXBRAZILINF-25DEC | 10 legs,nested thresholds on one subject: above #%,45 monitorable pairs
L-deadline,implication,Economics,COSTCOHOTDOG | 4 legs,earlier deadline implies later within one event,6 monitorable pairs
P1-mutex,partition,Elections,KXNEXTNATOSECGEN-99 | 8 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXNEWPOPE-70 | 7 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXXISUCCESSOR-45JAN01 | 14 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXNEXTROMANIAPM-45JAN01 | 26 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXNEXTISRAELPM-45JAN01 | 12 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESPARTY-2032 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXNEXTSPEAKER-31 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXCANELECTION-29OCT15 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXINDIANPM-29APR30 | 9 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXGERELECTION-29MAR25 | 7 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXNEXTATLFED-30JAN01 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXUKCOALITION-30JAN01 | 19 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-deadline,implication,Elections,KXELECTUKRAINE-30JAN01 | 4 legs,earlier deadline implies later within one event,6 monitorable pairs
L-deadline,implication,Elections,KXECCOMPACT-30 | 4 legs,earlier deadline implies later within one event,6 monitorable pairs
P1-mutex,partition,Elections,KXNYCMAYORPERSON-29 | 12 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXAUSTPM-28SEP23 | 7 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXUKPARTY-29 | 8 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,POWER-28 | 8 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXDSENATESEATS-29 | 14 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,CONTROLS-2028 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,CONTROLH-2028 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESPERSON-28 | 30 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESPARTY-2028 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXNEXTPRESSEC-29JAN21 | 8 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYDE-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYWV-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYMO-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYIN-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYNH-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,POPVOTEMOV-28NOV07 | 20 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEIN-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYVT-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEWI-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEWA-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEVT-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEUT-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATESD-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATESC-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEPA-28 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEOR-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEOK-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEOH-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATENY-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATENV-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATENH-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEND-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATENC-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEMO-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEMD-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATELA-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEKS-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEIL-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEID-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEIA-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEHI-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEGA-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEFL-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATECT-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATECO-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATECA-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEAZ-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEAR-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEAL-28-2 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,SENATEAK-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYUT-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYMT-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYNC-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXSERBIAPM-27DEC31 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXGHANAPRES-28 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,GOVPARTYND-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXGHANAPARLI-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXRTICKET-28NOV07 | 25 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXDTICKET-28NOV07 | 25 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXVPRESNOMR-28 | 21 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXVPRESNOMD-28 | 45 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXSENATEPAD-28 | 8 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXSENATENYD-28 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESNOMR-28 | 38 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESNOML-28 | 11 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESNOMG-28 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESNOMD-28 | 46 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXFIRSTPRIMARYD-28 | 12 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXDECLAREPRESFIRSTD-28NOV07 | 10 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXRPRESPRIMARY-28IA | 10 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESOUTCOME-28NOV07 | 32 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESMATCHUP-28NOV07 | 16 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXDPRESPRIMARY-28SC | 15 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXDECLAREPRESFIRSTD-28NOV01 | 33 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXMOLDOVAPRES-28 | 7 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXGEORGIAPARLI-28 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXAUSTRALIAHOUSE-28 | 4 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXSPANISHPM-27AUG22 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPHILIPPINESSENATE-28 | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPHILIPPINESPRES-28 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPHILIPPINESHOUSE-28 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXDOMINICANREPUBLICSENATE-28 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXAUSTRALIASENATE-28 | 4 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXDOMINICANREPUBLICDEPUTIES-28 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXTURKEYPRES-28 | 10 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESTURKEYR1-28 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPARLITURKEY-28 | 4 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXLONDONMAYOR-28MAY01 | 8 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPARAGUAYSENATE-28 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPARAGUAYDEPUTIES-28 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXTRUMPENDORSE28-28MAR01 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXFIJIPM-27FEB06 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXPRESTAIWAN-28 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXNEXTJUDICIARYCHAIR-28JAN01 | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXTXSENOUTCOME-27JAN | 2 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-deadline,implication,Elections,KXVANCERUN-28 | 4 legs,earlier deadline implies later within one event,6 monitorable pairs
L-deadline,implication,Elections,KXTRUMPRUN | 2 legs,earlier deadline implies later within one event,1 monitorable pairs
P1-mutex,partition,Elections,KXSWEDENPM-26SEP13 | 4 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Elections,KXSENATEDEMLEAD-28JAN01 | 13 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
