race_key,n_families,members
TX17,3,margin:KXMIDTERMMOV-TX17R|turnout:KXMIDTERMVOTETURN-TX17|winner:KXHOUSERACE-TX17-26
TX16,3,margin:KXMIDTERMMOV-TX16D|turnout:KXMIDTERMVOTETURN-TX16|winner:KXHOUSERACE-TX16-26
TX14,3,margin:KXMIDTERMMOV-TX14R|turnout:KXMIDTERMVOTETURN-TX14|winner:KXHOUSERACE-TX14-26
TX13,3,margin:KXMIDTERMMOV-TX13R|turnout:KXMIDTERMVOTETURN-TX13|winner:KXHOUSERACE-TX13-26
TX12,3,margin:KXMIDTERMMOV-TX12R|turnout:KXMIDTERMVOTETURN-TX12|winner:KXHOUSERACE-TX12-26
TX11,3,margin:KXMIDTERMMOV-TX11R|turnout:KXMIDTERMVOTETURN-TX11|winner:KXHOUSERACE-TX11-26
TX10,3,margin:KXMIDTERMMOV-TX10R|turnout:KXMIDTERMVOTETURN-TX10|winner:KXHOUSERACE-TX10-26
TX09,3,margin:KXMIDTERMMOV-TX09D|margin:KXMIDTERMMOV-TX09R|turnout:KXMIDTERMVOTETURN-TX09
TX08,3,margin:KXMIDTERMMOV-TX08R|turnout:KXMIDTERMVOTETURN-TX08|winner:KXHOUSERACE-TX08-26
TX07,3,margin:KXMIDTERMMOV-TX07D|turnout:KXMIDTERMVOTETURN-TX07|winner:KXHOUSERACE-TX07-26
TX06,3,margin:KXMIDTERMMOV-TX06R|turnout:KXMIDTERMVOTETURN-TX06|winner:KXHOUSERACE-TX06-26
TX05,3,margin:KXMIDTERMMOV-TX05R|turnout:KXMIDTERMVOTETURN-TX05|winner:KXHOUSERACE-TX05-26
TX04,3,margin:KXMIDTERMMOV-TX04R|turnout:KXMIDTERMVOTETURN-TX04|winner:KXHOUSERACE-TX04-26
TX03,3,margin:KXMIDTERMMOV-TX03R|turnout:KXMIDTERMVOTETURN-TX03|winner:KXHOUSERACE-TX03-26
TX02,3,margin:KXMIDTERMMOV-TX02R|turnout:KXMIDTERMVOTETURN-TX02|winner:KXHOUSERACE-TX02-26
TX01,3,margin:KXMIDTERMMOV-TX01R|turnout:KXMIDTERMVOTETURN-TX01|winner:KXHOUSERACE-TX01-26
TN09,3,margin:KXMIDTERMMOV-TN09D|turnout:KXMIDTERMVOTETURN-TN09|winner:KXHOUSERACE-TN09-26
TN08,3,margin:KXMIDTERMMOV-TN08R|turnout:KXMIDTERMVOTETURN-TN08|winner:KXHOUSERACE-TN08-26
TN07,3,margin:KXMIDTERMMOV-TN07R|turnout:KXMIDTERMVOTETURN-TN07|winner:KXHOUSERACE-TN07-26
TN06,3,margin:KXMIDTERMMOV-TN06R|turnout:KXMIDTERMVOTETURN-TN06|winner:KXHOUSERACE-TN06-26
TN04,3,margin:KXMIDTERMMOV-TN04R|turnout:KXMIDTERMVOTETURN-TN04|winner:KXHOUSERACE-TN04-26
TN03,3,margin:KXMIDTERMMOV-TN03R|turnout:KXMIDTERMVOTETURN-TN03|winner:KXHOUSERACE-TN03-26
TN02,3,margin:KXMIDTERMMOV-TN02R|turnout:KXMIDTERMVOTETURN-TN02|winner:KXHOUSERACE-TN02-26
TN01,3,margin:KXMIDTERMMOV-TN01R|turnout:KXMIDTERMVOTETURN-TN01|winner:KXHOUSERACE-TN01-26
SDAL,3,margin:KXMIDTERMMOV-SDALR|turnout:KXMIDTERMVOTETURN-SDAL|winner:KXHOUSERACE-SDAL-26
SCSEN,3,margin:KXMIDTERMMOV-SCSEND|margin:KXMIDTERMMOV-SCSENR|turnout:KXMIDTERMVOTETURN-SCSEN
SCGOV,3,margin:KXMIDTERMMOV-SCGOVD|margin:KXMIDTERMMOV-SCGOVR|turnout:KXMIDTERMVOTETURN-SCGOV
SC07,3,margin:KXMIDTERMMOV-SC07R|turnout:KXMIDTERMVOTETURN-SC07|winner:KXHOUSERACE-SC07-26
SC06,3,margin:KXMIDTERMMOV-SC06D|turnout:KXMIDTERMVOTETURN-SC06|winner:KXHOUSERACE-SC06-26
SC05,3,margin:KXMIDTERMMOV-SC05R|turnout:KXMIDTERMVOTETURN-SC05|winner:KXHOUSERACE-SC05-26
SC04,3,margin:KXMIDTERMMOV-SC04R|turnout:KXMIDTERMVOTETURN-SC04|winner:KXHOUSERACE-SC04-26
SC03,3,margin:KXMIDTERMMOV-SC03R|turnout:KXMIDTERMVOTETURN-SC03|winner:KXHOUSERACE-SC03-26
SC02,3,margin:KXMIDTERMMOV-SC02R|turnout:KXMIDTERMVOTETURN-SC02|winner:KXHOUSERACE-SC02-26
RI02,3,margin:KXMIDTERMMOV-RI02D|turnout:KXMIDTERMVOTETURN-RI02|winner:KXHOUSERACE-RI02-26
RI01,3,margin:KXMIDTERMMOV-RI01D|turnout:KXMIDTERMVOTETURN-RI01|winner:KXHOUSERACE-RI01-26
PA17,3,margin:KXMIDTERMMOV-PA17D|turnout:KXMIDTERMVOTETURN-PA17|winner:HOUSEPA17-26
PA16,3,margin:KXMIDTERMMOV-PA16R|turnout:KXMIDTERMVOTETURN-PA16|winner:KXHOUSERACE-PA16-26
PA15,3,margin:KXMIDTERMMOV-PA15R|turnout:KXMIDTERMVOTETURN-PA15|winner:KXHOUSERACE-PA15-26
PA14,3,margin:KXMIDTERMMOV-PA14R|turnout:KXMIDTERMVOTETURN-PA14|winner:KXHOUSERACE-PA14-26
PA13,3,margin:KXMIDTERMMOV-PA13R|turnout:KXMIDTERMVOTETURN-PA13|winner:KXHOUSERACE-PA13-26
PA12,3,margin:KXMIDTERMMOV-PA12D|turnout:KXMIDTERMVOTETURN-PA12|winner:KXHOUSERACE-PA12-26
PA11,3,margin:KXMIDTERMMOV-PA11R|turnout:KXMIDTERMVOTETURN-PA11|winner:KXHOUSERACE-PA11-26
PA09,3,margin:KXMIDTERMMOV-PA09R|turnout:KXMIDTERMVOTETURN-PA09|winner:KXHOUSERACE-PA09-26
PA08,3,margin:KXMIDTERMMOV-PA08D|margin:KXMIDTERMMOV-PA08R|turnout:KXMIDTERMVOTETURN-PA08
PA07,3,margin:KXMIDTERMMOV-PA07D|margin:KXMIDTERMMOV-PA07R|turnout:KXMIDTERMVOTETURN-PA07
PA06,3,margin:KXMIDTERMMOV-PA06D|turnout:KXMIDTERMVOTETURN-PA06|winner:KXHOUSERACE-PA06-26
PA05,3,margin:KXMIDTERMMOV-PA05D|turnout:KXMIDTERMVOTETURN-PA05|winner:KXHOUSERACE-PA05-26
PA04,3,margin:KXMIDTERMMOV-PA04D|turnout:KXMIDTERMVOTETURN-PA04|winner:KXHOUSERACE-PA04-26
PA03,3,margin:KXMIDTERMMOV-PA03D|turnout:KXMIDTERMVOTETURN-PA03|winner:KXHOUSERACE-PA03-26
PA02,3,margin:KXMIDTERMMOV-PA02D|turnout:KXMIDTERMVOTETURN-PA02|winner:KXHOUSERACE-PA02-26
PA01,3,margin:KXMIDTERMMOV-PA01D|margin:KXMIDTERMMOV-PA01R|turnout:KXMIDTERMVOTETURN-PA01
OR06,3,margin:KXMIDTERMMOV-OR06D|turnout:KXMIDTERMVOTETURN-OR06|winner:KXHOUSERACE-OR06-26
OR04,3,margin:KXMIDTERMMOV-OR04D|turnout:KXMIDTERMVOTETURN-OR04|winner:KXHOUSERACE-OR04-26
OR03,3,margin:KXMIDTERMMOV-OR03D|turnout:KXMIDTERMVOTETURN-OR03|winner:KXHOUSERACE-OR03-26
OR02,3,margin:KXMIDTERMMOV-OR02R|turnout:KXMIDTERMVOTETURN-OR02|winner:KXHOUSERACE-OR02-26
OR01,3,margin:KXMIDTERMMOV-OR01D|turnout:KXMIDTERMVOTETURN-OR01|winner:KXHOUSERACE-OR01-26
OK05,3,margin:KXMIDTERMMOV-OK05R|turnout:KXMIDTERMVOTETURN-OK05|winner:KXHOUSERACE-OK05-26
OK04,3,margin:KXMIDTERMMOV-OK04R|turnout:KXMIDTERMVOTETURN-OK04|winner:KXHOUSERACE-OK04-26
OK03,3,margin:KXMIDTERMMOV-OK03R|turnout:KXMIDTERMVOTETURN-OK03|winner:KXHOUSERACE-OK03-26
OK02,3,margin:KXMIDTERMMOV-OK02R|turnout:KXMIDTERMVOTETURN-OK02|winner:KXHOUSERACE-OK02-26
OK01,3,margin:KXMIDTERMMOV-OK01R|turnout:KXMIDTERMVOTETURN-OK01|winner:KXHOUSERACE-OK01-26
OHSEN,3,margin:KXMIDTERMMOV-OHSEND|margin:KXMIDTERMMOV-OHSENR|turnout:KXMIDTERMVOTETURN-OHSEN
OHGOV,3,margin:KXMIDTERMMOV-OHGOVD|margin:KXMIDTERMMOV-OHGOVR|turnout:KXMIDTERMVOTETURN-OHGOV
OH14,3,margin:KXMIDTERMMOV-OH14R|turnout:KXMIDTERMVOTETURN-OH14|winner:KXHOUSERACE-OH14-26
OH13,3,margin:KXMIDTERMMOV-OH13D|turnout:KXMIDTERMVOTETURN-OH13|winner:HOUSEOH13-26
OH12,3,margin:KXMIDTERMMOV-OH12R|turnout:KXMIDTERMVOTETURN-OH12|winner:KXHOUSERACE-OH12-26
OH11,3,margin:KXMIDTERMMOV-OH11D|turnout:KXMIDTERMVOTETURN-OH11|winner:KXHOUSERACE-OH11-26
OH09,3,margin:KXMIDTERMMOV-OH09D|margin:KXMIDTERMMOV-OH09R|turnout:KXMIDTERMVOTETURN-OH09
OH08,3,margin:KXMIDTERMMOV-OH08R|turnout:KXMIDTERMVOTETURN-OH08|winner:KXHOUSERACE-OH08-26
OH06,3,margin:KXMIDTERMMOV-OH06R|turnout:KXMIDTERMVOTETURN-OH06|winner:KXHOUSERACE-OH06-26
OH05,3,margin:KXMIDTERMMOV-OH05R|turnout:KXMIDTERMVOTETURN-OH05|winner:KXHOUSERACE-OH05-26
OH04,3,margin:KXMIDTERMMOV-OH04R|turnout:KXMIDTERMVOTETURN-OH04|winner:KXHOUSERACE-OH04-26
OH03,3,margin:KXMIDTERMMOV-OH03D|turnout:KXMIDTERMVOTETURN-OH03|winner:KXHOUSERACE-OH03-26
OH02,3,margin:KXMIDTERMMOV-OH02R|turnout:KXMIDTERMVOTETURN-OH02|winner:KXHOUSERACE-OH02-26
OH01,3,margin:KXMIDTERMMOV-OH01D|margin:KXMIDTERMMOV-OH01R|turnout:KXMIDTERMVOTETURN-OH01
NY26,3,margin:KXMIDTERMMOV-NY26D|turnout:KXMIDTERMVOTETURN-NY26|winner:KXHOUSERACE-NY26-26
NY25,3,margin:KXMIDTERMMOV-NY25D|turnout:KXMIDTERMVOTETURN-NY25|winner:KXHOUSERACE-NY25-26
NY24,3,margin:KXMIDTERMMOV-NY24R|turnout:KXMIDTERMVOTETURN-NY24|winner:KXHOUSERACE-NY24-26
NY23,3,margin:KXMIDTERMMOV-NY23R|turnout:KXMIDTERMVOTETURN-NY23|winner:KXHOUSERACE-NY23-26
NY22,3,margin:KXMIDTERMMOV-NY22D|turnout:KXMIDTERMVOTETURN-NY22|winner:HOUSENY22-26
NY21,3,margin:KXMIDTERMMOV-NY21R|turnout:KXMIDTERMVOTETURN-NY21|winner:KXHOUSERACE-NY21-26
NY20,3,margin:KXMIDTERMMOV-NY20D|turnout:KXMIDTERMVOTETURN-NY20|winner:KXHOUSERACE-NY20-26
NY18,3,margin:KXMIDTERMMOV-NY18D|turnout:KXMIDTERMVOTETURN-NY18|winner:HOUSENY18-26
NY16,3,margin:KXMIDTERMMOV-NY16D|turnout:KXMIDTERMVOTETURN-NY16|winner:KXHOUSERACE-NY16-26
NY15,3,margin:KXMIDTERMMOV-NY15D|turnout:KXMIDTERMVOTETURN-NY15|winner:KXHOUSERACE-NY15-26
NY14,3,margin:KXMIDTERMMOV-NY14D|turnout:KXMIDTERMVOTETURN-NY14|winner:KXHOUSERACE-NY14-26
NY13,3,margin:KXMIDTERMMOV-NY13D|turnout:KXMIDTERMVOTETURN-NY13|winner:KXHOUSERACE-NY13-26
NY12,3,margin:KXMIDTERMMOV-NY12D|turnout:KXMIDTERMVOTETURN-NY12|winner:KXHOUSERACE-NY12-26
NY11,3,margin:KXMIDTERMMOV-NY11R|turnout:KXMIDTERMVOTETURN-NY11|winner:KXHOUSERACE-NY11-26
NY10,3,margin:KXMIDTERMMOV-NY10D|turnout:KXMIDTERMVOTETURN-NY10|winner:KXHOUSERACE-NY10-26
NY09,3,margin:KXMIDTERMMOV-NY09D|turnout:KXMIDTERMVOTETURN-NY09|winner:KXHOUSERACE-NY09-26
NY08,3,margin:KXMIDTERMMOV-NY08D|turnout:KXMIDTERMVOTETURN-NY08|winner:KXHOUSERACE-NY08-26
NY07,3,margin:KXMIDTERMMOV-NY07D|turnout:KXMIDTERMVOTETURN-NY07|winner:KXHOUSERACE-NY07-26
NY06,3,margin:KXMIDTERMMOV-NY06D|turnout:KXMIDTERMVOTETURN-NY06|winner:KXHOUSERACE-NY06-26
NY05,3,margin:KXMIDTERMMOV-NY05D|turnout:KXMIDTERMVOTETURN-NY05|winner:KXHOUSERACE-NY05-26
NY03,3,margin:KXMIDTERMMOV-NY03D|margin:KXMIDTERMMOV-NY03R|turnout:KXMIDTERMVOTETURN-NY03
NVGOV,3,margin:KXMIDTERMMOV-NVGOVD|margin:KXMIDTERMMOV-NVGOVR|turnout:KXMIDTERMVOTETURN-NVGOV
NV03,3,margin:KXMIDTERMMOV-NV03D|margin:KXMIDTERMMOV-NV03R|turnout:KXMIDTERMVOTETURN-NV03
NM03,3,margin:KXMIDTERMMOV-NM03D|turnout:KXMIDTERMVOTETURN-NM03|winner:KXHOUSERACE-NM03-26
NM01,3,margin:KXMIDTERMMOV-NM01D|turnout:KXMIDTERMVOTETURN-NM01|winner:KXHOUSERACE-NM01-26
NJ12,3,margin:KXMIDTERMMOV-NJ12D|turnout:KXMIDTERMVOTETURN-NJ12|winner:KXHOUSERACE-NJ12-26
NJ11,3,margin:KXMIDTERMMOV-NJ11D|turnout:KXMIDTERMVOTETURN-NJ11|winner:KXHOUSERACE-NJ11-26
NJ10,3,margin:KXMIDTERMMOV-NJ10D|turnout:KXMIDTERMVOTETURN-NJ10|winner:KXHOUSERACE-NJ10-26
NJ08,3,margin:KXMIDTERMMOV-NJ08D|turnout:KXMIDTERMVOTETURN-NJ08|winner:KXHOUSERACE-NJ08-26
NJ07,3,margin:KXMIDTERMMOV-NJ07D|margin:KXMIDTERMMOV-NJ07R|turnout:KXMIDTERMVOTETURN-NJ07
NJ06,3,margin:KXMIDTERMMOV-NJ06D|turnout:KXMIDTERMVOTETURN-NJ06|winner:KXHOUSERACE-NJ06-26
NJ04,3,margin:KXMIDTERMMOV-NJ04R|turnout:KXMIDTERMVOTETURN-NJ04|winner:KXHOUSERACE-NJ04-26
NJ03,3,margin:KXMIDTERMMOV-NJ03D|turnout:KXMIDTERMVOTETURN-NJ03|winner:KXHOUSERACE-NJ03-26
NJ01,3,margin:KXMIDTERMMOV-NJ01D|turnout:KXMIDTERMVOTETURN-NJ01|winner:KXHOUSERACE-NJ01-26
NHSEN,3,margin:KXMIDTERMMOV-NHSEND|margin:KXMIDTERMMOV-NHSENR|turnout:KXMIDTERMVOTETURN-NHSEN
NHGOV,3,margin:KXMIDTERMMOV-NHGOVD|margin:KXMIDTERMMOV-NHGOVR|turnout:KXMIDTERMVOTETURN-NHGOV
NH02,3,margin:KXMIDTERMMOV-NH02D|turnout:KXMIDTERMVOTETURN-NH02|winner:KXHOUSERACE-NH02-26
NH01,3,margin:KXMIDTERMMOV-NH01D|margin:KXMIDTERMMOV-NH01R|turnout:KXMIDTERMVOTETURN-NH01
NE03,3,margin:KXMIDTERMMOV-NE03R|turnout:KXMIDTERMVOTETURN-NE03|winner:KXHOUSERACE-NE03-26
NE02,3,margin:KXMIDTERMMOV-NE02D|margin:KXMIDTERMMOV-NE02R|turnout:KXMIDTERMVOTETURN-NE02
NE01,3,margin:KXMIDTERMMOV-NE01R|turnout:KXMIDTERMVOTETURN-NE01|winner:KXHOUSERACE-NE01-26
NDAL,3,margin:KXMIDTERMMOV-NDALR|turnout:KXMIDTERMVOTETURN-NDAL|winner:KXHOUSERACE-NDAL-26
NCSEN,3,margin:KXMIDTERMMOV-NCSEND|margin:KXMIDTERMMOV-NCSENR|turnout:KXMIDTERMVOTETURN-NCSEN
NC14,3,margin:KXMIDTERMMOV-NC14R|turnout:KXMIDTERMVOTETURN-NC14|winner:KXHOUSERACE-NC14-26
NC13,3,margin:KXMIDTERMMOV-NC13R|turnout:KXMIDTERMVOTETURN-NC13|winner:KXHOUSERACE-NC13-26
